user_id,first,last,archetype,state,transaction_date,month,year,month_key,category,merchant,amount,is_subscription,subscription_frequency,monthly_total,prev_month_total,month_over_month_change_pct,avg_monthly_spend,credit_score_impact_category,spending_velocity_7d,is_fraud_flag,risk_score
USER_0000,James,Jones,frugal_saver,TX,2024-08-08,8,2024,2024-08,Groceries,Kroger,126.91,False,one-time,0,0,0,3319.21,positive,14,False,0.22
USER_0000,James,Jones,frugal_saver,TX,2024-08-09,8,2024,2024-08,Dining & Restaurants,Chick-fil-A,36.29,False,one-time,0,0,0,3319.21,neutral,19,True,0.837
USER_0000,James,Jones,frugal_saver,TX,2024-08-09,8,2024,2024-08,Online Shopping,eBay,9.43,False,one-time,0,0,0,3319.21,neutral,1,False,0.174
USER_0000,James,Jones,frugal_saver,TX,2024-08-12,8,2024,2024-08,Healthcare,Urgent Care,81.24,False,one-time,0,0,0,3319.21,positive,2,False,0.03
USER_0000,James,Jones,frugal_saver,TX,2024-08-17,8,2024,2024-08,Groceries,Walmart,49.13,False,one-time,0,0,0,3319.21,positive,1,False,0.117
USER_0000,James,Jones,frugal_saver,TX,2024-08-23,8,2024,2024-08,Groceries,Whole Foods,30.17,False,one-time,0,0,0,3319.21,positive,10,False,0.353
USER_0000,James,Jones,frugal_saver,TX,2024-08-24,8,2024,2024-08,Dining & Restaurants,Sushi Zen,116.65,False,one-time,0,0,0,3319.21,neutral,9,False,0.346
USER_0000,James,Jones,frugal_saver,TX,2024-10-08,10,2024,2024-10,Dining & Restaurants,Chipotle,360.82,False,one-time,0,0,0,3319.21,neutral,6,False,0.107
USER_0000,James,Jones,frugal_saver,TX,2024-10-10,10,2024,2024-10,Groceries,Walmart,92.77,False,one-time,0,0,0,3319.21,positive,4,False,0.307
USER_0000,James,Jones,frugal_saver,TX,2024-10-10,10,2024,2024-10,Groceries,Trader Joe's,56.45,False,one-time,0,0,0,3319.21,positive,10,False,0.27
